بسم	bism
فهم	fa hum
لا يرجعون	lā yarji’ụn
أو	au
كصيب	kaṣayyib
من	min
السماء	as-samā`
ظلمات	ẓulumāt
ورعد	wa ra’d
وبرق	wa barq
يجعلون	yaj’alụn
أصابعهم	aṣābi’ahum
آذانهم	āżānihim
الصواعق	aṣ-ṣawā’iq
حذر	ḥażar
الموت	al-maụt
محيط	muḥīṭ
بالكافرين	bil-kāfirīn
يكاد	yakād
البرق	al-barqu
يخطف	yakhṭaf
أبصارهم	abṣārahum
كلما	kullamā
أضاء	aḍā`
لهم	lahum
مشوا	masyau
أظلم	aẓlam
قاموا	qāmụ
ولو شاء	walau syā`
لذهب	lażahab
بسمعهم	bisam’ihim
شيء قدير	syai`ing qadīr
يا أيها	yā ayyuhā
الناس	an-nās
ربكم	rabbakum
الذي	allażī
خلقكم	khalaqakum
قبلكم	qablikum
لعلكم	la’allakum
تتقون	tattaqụn
جعل	ja’al
 لكم	lakum
الأرض	al-arḍ
فراشا	firāsyā
بناء	binā`
ماء	mā`
فأخرج	fa akhraj
به	bih
الثمرات	aṡ-ṡamarāt
رزقا لكم	rizqal lakum
فلا تجعلوا	fa lā taj’alụ
لله	lillāh
أندادا	andādā
وأنتم	wa antum
تعلمون	ta’lamụn
وإن	wa in
كنتم	kuntum
في ريب	fī raib
نزلنا	nazzalnā
عبدنا	‘abdinā
فأتوا	fa`tụ
بسورة	bisụrah
مثله	miṡlih
وادعوا	wad’ụ
شهداءكم	syuhadā`akum
دون الله	dụnillāh
صادقين	ṣādiqīn
فإن	fa in
لم تفعلوا	lam taf’alụ
ولن تفعلوا	wa lan taf’alụ
فاتقوا	fattaqụ
النار	an-nār
التي	allatī
وقودها	waqụduhā
والحجارة	wal-ḥijārah
أعدت	u’iddat
للكافرين	lil-kāfirīn
وبشر	wa basysyir
وعملوا	wa ‘amilụ
الصالحات	aṣ-ṣāliḥāt
جنات	jannāt
تجري	tajrī
تحتها	taḥtihā
الأنهار	al-an-hār
رزقوا	ruziqụ
منها	min-hā
ثمرة	ṡamarah
رزقا	rizqā
هذا	hāżā
رزقنا	ruziqnā
قبل	qabl
وأتوا	wa utụ
متشابها	mutasyābihā
فيها	fīhā
أزواج	azwāj
مطهرة	muṭahharah
خالدون	khālidụn
إن الله	innallāh
لا يستحيي	lā yastaḥyī
أن يضرب	ay yaḍrib
مثلا	maṡalā
ما	mā
بعوضة	ba’ụḍah
فوقها	fauqahā
فأما	fa ammā
فيعلمون	fa ya’lamụn
أنه	annah
الحق	al-ḥaqq
وأما	wa ammā
فيقولون	fa yaqụlụna
ماذا	māżā
أراد	arād
أراد الله	arādallāhu
بهذا	bihāżā
مثلا	maṡalā
يضل	yuḍill
كثيرا	kaṡīrā
ويهدي	wa yahdī
يضل به	yuḍillu bihī
إلا الفاسقين	illāl-fāsiqīn
ينقضون	yangquḍụn
عهد الله	‘ahdallāh
من بعد	mim ba’d
ميثاقه	mīṡāqih
ويقطعون	wa yaqṭa’ụn
أمر الله	amarallāh
أن يوصل	ay yụṣal
ويفسدون	wa yufsidụn
في الأرض	fil-arḍ
الخاسرون	al-khāsirụn
هم الخاسرون	humul-khāsirụn
كيف	kaif
تكفرون	takfurụn
أمواتا	amwātā
فأحياكم	fa aḥyākum
ثم	ṡumm
يميتكم	yumītukum
يحييكم	yuḥyīkum
إليه	ilaih
ترجعون	turja’ụn
خلق	khalaq
خلق لكم	khalaqa lakum
جميعا	jamī’ā
ثم استوى	ṡummastawā
إلى السماء	ilas-samā`
فسواهن	fa sawwāhunn
سبع	sab’
سماوات	samāwāt
عليم	‘alīm
شيء عليم	syai`in ‘alīm
قال	qāl
ربك	rabbuk
للملائكة	lil-malā`ikah
إني	innī
جاعل	jā’il
خليفة	khalīfah
أتجعل	a taj’al
من يفسد	may yufsid
ويسفك	wa yasfik
الدماء	ad-dimā`
نسبح	nusabbiḥ
بحمدك	biḥamdik
ونقدس لك	wa nuqaddisu lak
أعلم	a’lam
وعلم	wa ‘allam
آدم	ādam
الأسماء	al-asmā`a
كلها	kullahā
عرضهم	‘araḍahum
على الملائكة	‘alal-malā`ikah
فقال	fa qāl
أنبئوني	a ambi`ụnī
بأسماء	bi`asmā`
هؤلاء	hā`ulā`
سبحانك	qālụ sub-ḥānak
لا علم لنا	lā ‘ilma lanā
إلا ما علمتنا	illā mā ‘allamtanā
أنبئهم	ambi`hum
بأسمائهم	bi`asmā`ihim
ألم	a lam
أقل	aqul
ما تبدون	mā tubdụn
تكتمون	taktumụn
للملائكة اسجدوا	lil-malā`ikatisjudụ
لآدم	li`ādam
فسجدوا	fa sajadụ
إلا	illā
إبليس	iblīs
أبى	abā
واستكبر	wastakbar
وقلنا	wa qulnā
يا آدم اسكن	yā ādamuskun
 أنت	ant
وزوجك	wa zaujuk
الجنة	al-jannah
 وكلا	wa kulā
رغدا	ragadā
حيث	ḥaiṡ
شئتما	syi`tumā
ولا تقربا	wa lā taqrabā
هذه	hāżih
الشجرة	asy-syajarah
فتكونا	fa takụnā
الظالمين	aẓ-ẓālimīn
فأزلهما	fa azallahumā
الشيطان	asy-syaiṭān
عنها	‘an-hā
فأخرجهما	fa akhrajahumā
كانا	kānā
وقلنا اهبطوا	wa qulnahbiṭụ
اهبطوا	ihbiṭụ
بعضكم	ba’ḍukum
لبعض	liba’ḍ
عدو	‘aduww
مستقر	mustaqarr
ومتاع	wa matā’
إلى حين	ilā ḥīn
فتلقى	fa talaqqā
من ربه	mir rabbih
كلمات	kalimāt
فتاب عليه	fa tāba ‘alaīh
التواب	at-tawwāb
فإما	fa immā
يأتينكم	ya`tiyannakum
مني	minni
فمن	fa man
تبع	tabi’
هداي	hudāy
خوف	khauf
يحزنون	yaḥzanụn
وكذبوا	wa każżabụ
بآياتنا	bi`āyātinā
أصحاب	aṣ-ḥāb
يا بني	yā banī
إسرائيل	isrā`īl
اذكروا	użkurụ
نعمتي	ni’matī
أنعمت	an’amt
وأوفوا	wa aufụ
بعهدي	bi’ahdī
أوف	ụf
بعهدكم	bi’ahdikum
وإياي	wa iyyāy
فارهبون	far-habụn
وآمنوا	wa āminụ
أنزلت	anzalt
مصدقا	muṣaddiqā
لما معكم	limā ma’akum
ولا تكونوا	wa lā takụnụ
أول	awwal
كافر به	kāfirim bih
ولا تشتروا	wa lā tasytarụ
بآياتي	bi`āyātī
ثمنا قليلا	ṡamanang qalīla
فاتقون	fattaqụn
ولا تلبسوا الحق	wa lā talbisul-ḥaqq
بالباطل	bil-bāṭil
وتكتموا الحق	wa taktumul-ḥaqq
وأقيموا الصلاة	wa aqīmuṣ-ṣalāh
وآتوا الزكاة	wa ātuz-zakāh
واركعوا	warka’ụ
مع الراكعين	ma’ar-rāki’īn
أتأمرون الناس	a ta`murụnan-nās
بالبر	bil-birr
وتنسون	wa tansaun
أنفسكم	anfusakum
تتلون الكتاب	tatlụnal-kitāb
أفلا تعقلون	a fa lā ta’qilụn
واستعينوا	wasta’īnụ
بالصبر	biṣ-ṣabr
والصلاة	waṣ-ṣalāh
وإنها	wa innahā
لكبيرة	lakabīrah
الخاشعين	al-khāsyi’īn
يظنون	yaẓunnụn
أنهم	annahum
ملاقو ربهم	mulāqụ rabbihim
وأنهم إليه راجعون	wa annahum ilaihi rāji’ụn
وأني فضلتكم	wa annī faḍḍaltukum
على العالمين	‘alal-‘ālamīn
واتقوا	wattaqụ
يوما لا تجزي	yaumal lā tajzi
نفس عن	nafsun ‘an
نفس شيئا	nafsin syai`a
ولا يقبل	wa lā yuqbal
منها شفاعة	min-hā syafā’ah
ولا يؤخذ	wa lā yu`khaż
منها عدل	min-hā ‘adl
ولا هم ينصرون	wa lā hum yunṣarụn
وإذ نجيناكم	wa iż najjainākum
من آل فرعون	min āli fir’aun
يسومونكم	yasụmụnakum
سوء العذاب	sū`al-‘ażāb
يذبحون	yużabbiḥụn
أبناءكم	abnā`akum
ويستحيون	wa yastaḥyụn
نساءكم	nisā`akum
فرعون	fir’aun
وفي ذلكم	wa fī żālikum
بلاء من ربكم	balā`um mir rabbikum
عظيم	‘aẓīm
وإذ فرقنا	wa iż faraqnā
بكم البحر	bikumul-baḥr
فأنجيناكم	fa anjainākum
وأغرقنا	wa agraqnā
آل فرعون	āla fir’aun
تنظرون	tanẓurụn
البحر	al-baḥr
بلاء	balā`
واعدنا	wā’adnā
موسى	mụsā
أربعين	arba’īn
ليلة	lailah
ثم اتخذتم العجل	ṡummattakhażtumul-‘ijl
ثم عفونا	ṡumma ‘afaunā
تشكرون	tasykurụn
تهتدون	tahtadụn
لقومه	liqaumih
يا قوم	yā qaum
إنكم	innakum
ظلمتم	ẓalamtum
باتخاذكم	bittikhāżikum
العجل	al-‘ijl
فتوبوا	fa tụbụ
إلى بارئكم	ilā bāri`ikum
فاقتلوا أنفسكم	faqtulū anfusakum
ذلكم	żālikum
خير لكم	khairul lakum
عند بارئكم	‘inda bāri`ikum
خير	khair
فتاب عليكم	fa tāba ‘alaikum
إنه هو التواب الرحيم	innahụ huwat-tawwābur-raḥīm
قلتم	qultum
لن نؤمن لك	lan nu`mina lak
حتى	ḥattā
نرى الله	narallāh
جهرة	jahrah
فأخذتكم	fa akhażatkum
الصاعقة	aṣ-ṣā’iqah
بعثناكم	ba’aṡnākum
موتكم	mautikum
وظللنا	wa ẓallalnā
الغمام	al-gamām
وأنزلنا	wa anzalnā
المن	al-mann
والسلوى	was-salwā
كلوا	kulụ
طيبات	ṭayyibāt
ما رزقناكم	mā razaqnākum
ادخلوا	udkhulụ
هذه القرية	hāżihil-qaryah
القرية	al-qaryah
فكلوا	fa kulụ
حيث شئتم	ḥaiṡu syi`tum
رغدا	ragadā
وادخلوا	wadkhulụ
الباب	al-bāb
سجدا	sujjadā
وقولوا	wa qụlụ
حطة	ḥiṭṭah
نغفر لكم	nagfir lakum
خطاياكم	khaṭāyākum
وسنزيد	wa sanazīd
المحسنين	al-muḥsinīn
فبدل الذين	fa baddalallażīn
ظلموا	ẓalamụ
قولا	qaulā
غير الذي	gairallażī
فأنزلنا	fa anzalnā
على الذين	‘alallażīn
رجزا	rijzā
من السماء	minas-samā`
بما كانوا	bimā kānụ
يفسقون	yafsuqụn
وإذ استسقى	wa iżistasqā
فقلنا اضرب	fa qulnaḍrib
بعصاك الحجر	bi’aṣākal-ḥajar
فانفجرت	fanfajarat
منه اثنتا	min-huṡnatā
عشرة	‘asyrah
عينا	‘ainā
قد علم	qad ‘alim
كل أناس	kullu unās
مشربهم	masyrabahum
كلوا واشربوا	kulụ wasyrabụ
من رزق الله	mir rizqillāh
ولا تعثوا	wa lā ta’ṡau
في الأرض مفسدين	fil-arḍi mufsidīn
لن نصبر	lan naṣbir
على طعام	‘alā ṭa’ām
واحد	wāḥid
فادع لنا	fad’u lanā
ربك يخرج	rabbaka yukhrij
لنا	lanā
مما تنبت الأرض	mimmā tumbitul-arḍ
من بقلها	mim baqlihā
وقثائها	wa qiṡṡā`ihā
وفومها	wa fụmihā
وعدسها	wa ‘adasihā
وبصلها	wa baṣalihā
أتستبدلون الذي	a tastabdilụnallażī
هو أدنى	huwa adnā
بالذي	billāżī
هو خير	huwa khaīr
اهبطوا مصرا	ihbiṭụ miṣrā
فإن لكم	fa inna lakum
ما سألتم	mā sa`altum
وضربت	wa ḍuribat
عليهم الذلة	‘alaihimuż-żillāh
الذلة	aż-żillāh
والمسكنة	wal-maskanah
وباءوا	wa bā`ụ
بغضب	bigaḍab
من الله	minallāh
ذلك بأنهم	żālika bi`annahum
يكفرون	yakfurụn
بآيات الله	bi`āyātillāh
ويقتلون	wa yaqtulụn
النبيين	an-nabiyyīn
بغير الحق	bigairil-ḥaqq
ذلك بما	żālika bimā
عصوا وكانوا	‘aṣaw wa kānụ
يعتدون	ya’tadụn
إن الذين آمنوا	innallażīna āmanụ
والذين هادوا	wallażīna hādụ
والنصارى	wan-naṣārā
والصابئين	waṣ-ṣābi`īn
من آمن بالله	man āmana billāh
واليوم الآخر	wal-yaumil-ākhir
وعمل صالحا	wa ‘amila ṣāliḥā
فلهم أجرهم	fa lahum ajruhum
عند ربهم	‘inda rabbihim
ولا خوف عليهم	wa lā khaufun ‘alaihim
ولا هم يحزنون	wa lā hum yaḥzanụn
وإذ أخذنا	wa iż akhażnā
ميثاقكم	mīṡāqakum
ورفعنا	wa rafa’na
فوقكم الطور	fauqakumuṭ-ṭụr
الطور	aṭ-ṭụr
فوقكم	fauqakum
خذوا	khużụ
ما آتيناكم	mā ātainākum
بقوة	biquwwah
واذكروا	ważkurụ
ما فيه	mā fīh
لعلكم تتقون	la’allakum tattaqụn
ثم توليتم	ṡumma tawallaitum
من بعد ذلك	mim ba’di żālik
فلولا	falau lā
فضل الله عليكم	faḍlullāhi ‘alaikum
ورحمته لكنتم	wa raḥmatuhụ lakuntum
من الخاسرين	minal-khāsirīn
علمتم الذين اعتدوا	wa laqad ‘alimtumullażīna’tadau
في السبت	fis-sabt
فقلنا لهم	fa qulnā lahum
كونوا قردة خاسئين	kụnụ qiradatan khāsi`īn
خاسئين	khāsi`īn
قردة	qiradah
فجعلناها	fa ja’alnāhā
نكالا لما	nakālal limā
بين يديها	baina yadaihā
وما خلفها	wa mā khalfahā
وموعظة للمتقين	wa mau’iẓatal lil-muttaqīn
وإذ قال	wa iż qāl
موسى لقومه	mụsā liqaumihī
إن الله يأمركم	innallāha ya`murukum
أن تذبحوا بقرة	an tażbaḥụ baqarah
قالوا أتتخذنا	qālū a tattakhiżuna
قال أعوذ بالله	qāla a’ụżu billāh
هزوا	huzuwā
أن أكون من الجاهلين	an akụna minal-jāhilīn
من الجاهلين	minal-jāhilīn
قالوا ادع لنا	qālud’u lanā
قال إنه يقول	qāla innahụ yaqụl
ربك يبين لنا	rabbaka yubayyil lanā
إنها بقرة	innahā baqarah
لا فارض	lā fāriḍ
ولا بكر	wa lā bikr
عوان بين ذلك	‘awānum baina żālik
فافعلوا ما تؤمرون	faf’alụ mā tu`marụn
قالوا ادع لنا ربك يبين لنا	qālud’u lanā rabbaka yubayyil lanā
قال إنه يقول إنها	qāla innahụ yaqụlu innahā
ما لونها	mā launuhā
بقرة صفراء	baqaratun ṣafrā`
فاقع لونها	fāqi’ul launuhā
تسر الناظرين	tasurrun-nāẓirīn
تسر	tasurr
الناظرين	an-nāẓirīn
لنا ما هي إن البقر	lanā mā hiya innal-baqar
وإنا إن شاء الله	wa innā in syā`allāh
تشابه علينا	tasyābaha ‘alainā
لمهتدون	lamuhtadụn
بقرة لا ذلول	baqaratul lā żalụlu
مسلمة لا شية	musallamatul lā syiyah
لا ذلول تثير الأرض	lā żalụlun tuṡīrul-arḍ
ولا تسقي الحرث	wa lā tasqil-ḥarṡ
لا شية فيها	lā syiyata fīhā
قالوا الآن	qālul-ān
جئت بالحق	ji`ta bil-ḥaqq
فذبحوها	fa żabaḥụhā
وما كادوا يفعلون	wa mā kādụ yaf’alụn
وإذ قتلتم	wa iż qataltum
والله مخرج ما	wallāhu mukhrijum mā
نفسا فادارأتم فيها	nafsan faddāra’tum fīhā
كنتم تكتمون	kuntum taktumụn
فقلنا اضربوه	fa qulnaḍribụh
ببعضها	biba’ḍihā
كذلك يحيي الله	każālika yuḥyillāh
الموتى ويريكم	al-mautā wa yurīkum
آياته لعلكم	āyātihī la’allakum
تعقلون	ta’qilụn
ثم قست	ṡumma qasat
قلوبكم	qulụbukum
من بعد ذلك	mim ba’di żālik
كالحجارة	kal-ḥijārah
أو أشد قسوة	au asyaddu qaswah
وإن من الحجارة	wa inna minal-ḥijārah
الحجارة لما	al-ḥijārati lamā
يتفجر منه	yatafajjaru min-h
منه الأنهار	min-hul-an-hār
لما يشقق	lamā yasysyaqqaq
يشقق فيخرج	yasysyaqqaqu fa yakhruj
فيخرج منه الماء	fa yakhruju min-hul-mā`
يهبط من خشية الله	yahbiṭu min khasy-yatillāh
يهبط	yahbiṭ
من خشية	min khasy-yah
وما الله بغافل	wa mallāhu bigāfil
 بغافل عما تعملون	bigāfilin ‘ammā ta’malụn
أفتطمعون	a fa taṭma’ụn
أن يؤمنوا لكم	ay yu`minụ lakum
كان فريق منهم	kāna farīqum min-hum
يسمعون كلام الله	yasma’ụna kalāmallāh
يحرفونه من بعد ما	yuḥarrifụnahụ mim ba’di mā
عقلوه وهم	‘aqalụhu wa hum
يحرفونه	yuḥarrifụnah
عقلوه	‘aqalụh
فريق	farīq
يسمعون	yasma’ụn
كلام	kalām
وإذا لقوا الذين	wa iżā laqullażīn
آمنوا قالوا آمنا	āmanụ qālū āmannā
وإذا خلا بعضهم	wa iżā khalā ba’ḍuhum
إلى بعض قالوا	ilā ba’ḍing qālụ
أتحدثونهم	a tuḥaddiṡụnahum
بما فتح الله	bimā fataḥallāh
ليحاجوكم	liyuḥājjụkum
به عند ربكم	bihī ‘inda rabbikum
أولا يعلمون	a wa lā ya’lamụn
أن الله يعلم ما	annallāha ya’lamu mā
يسرون وما	yusirrụna wa mā yu’linụn
يعلنون	yu’linụn
يسرون	yusirrụn
أميون لا	ummiyyụna lā
يعلمون الكتاب	ya’lamụnal-kitāb
إلا أماني	illā amānī
إلا يظنون	illā yaẓunnụn
أماني إلا	amāniyya illā 
الكتاب إلا	al-kitāba illā
فويل للذين	fa wailul lillāżīn
يكتبون الكتاب بأيديهم	yaktubụnal-kitāba bi`aidīhim
ثم يقولون هذا	yaqụlụna hāżā
هذا من عند الله	hāżā min ‘indillāh
ليشتروا به	liyasytarụ bih
ثمنا قليلا	ṡamanang qalīlā
فويل لهم	fa wailul lahum
مما كتبت	mimmā katabat
أيديهم	aidīhim
وويل لهم	wa wailul lahum
مما يكسبون	mimmā yaksibụn
وقالوا لن	wa qālụ lan
لن تمسنا النار	lan tamassanan-nār
النار إلا	an-nāru illā
أياما معدودة	ayyāmam ma’dụdah
أياما	ayyāmā
قل أتخذتم	qul attakhażtum
عهدا	‘ahdā
عهدا فلن يخلف الله	‘ahdan fa lay yukhlifallāh
عهده أم	‘ahdahū am
فلن يخلف	fa lay yukhlif
عهده	‘ahdah
تقولون على	taqụlụna ‘alā
على الله	‘alallāh
بلى من كسب	balā mang kasab
كسب سيئة	kasaba sayyi`ah
سيئة وأحاطت	sayyi`ataw wa `aḥāṭat
به خطيئته	bihī khaṭī`atuh
خطيئته فأولئك	khaṭī`atuhụ fa ulā`ik
فأولئك أصحاب	fa ulā`ika aṣ-ḥāb
أصحاب النار	aṣ-ḥābun-nār
آمنوا وعملوا	āmanụ wa ‘amilụ
وعملوا الصالحات	wa ‘amiluṣ-ṣāliḥāt
الصالحات أولئك	aṣ-ṣāliḥāti ulā`ik
أولئك أصحاب	ulā`ika aṣ-ḥāb
أصحاب الجنة	aṣ-ḥābul-jannah
هم فيها خالدون	hum fīhā khālidụn
أخذنا ميثاق	akhażnā mīṡāq
ميثاق بني	mīṡāqa banī
بني إسرائيل	banī isrā`īl
إسرائيل لا	isrā`īla lā
لا تعبدون	lā ta’budụn
تعبدون إلا	ta’budụna illā
إلا الله	illāllāh
وبالوالدين إحسانا	wa bil-wālidaini iḥsānā
إحسانا وذي	iḥsānaw wa żī
وذي القربى	wa żil-qurbā
القربى واليتامى	al-qurbā wal-yatāmā
واليتامى والمساكين	wal-yatāmā wal-masākīn
والمساكين وقولوا	wal-masākīni wa qụlụ
وقولوا للناس	wa qụlụ lin-nās
للناس حسنا	lin-nāsi ḥusnā
حسنا وأقيموا	ḥusnaw wa aqīmụ
وأقيموا الصلاة	wa aqīmuṣ-ṣalāh
الصلاة وآتوا	aṣ-ṣalāta wa ātụ
وآتوا الزكاة	wa ātuz-zakāh
ثم توليتم	ṡumma tawallaitum
إلا قليلا	illā qalīlā
قليلا منكم	qalīlam mingkum
معرضون	mu’riḍụn
لا تسفكون	lā tasfikụn
لا تسفكون دماءكم	lā tasfikụna dimā`akum
ولا تخرجون	wa lā tukhrijụn
تخرجون أنفسكم	tukhrijụna anfusakum
من دياركم	min diyārikum
أقررتم	aqrartum
تشهدون	tasy-hadụn
هؤلاء	hā`ulā`
هؤلاء تقتلون	hā`ulā`i taqtulụn
تقتلون أنفسكم	taqtulụna anfusakum
وتخرجون فريقا	wa tukhrijụna farīqā
فريقا منكم	farīqam mingkum
من ديارهم	min diyārihim
تظاهرون	taẓāharụn
تظاهرون عليهم	taẓāharụna ‘alaihim
بالإثم	bil-iṡm
بالإثم والعدوان	bil-iṡmi wal-‘udwān
العدوان	al-‘udwān
وتخرجون	wa tukhrijụn
وإن يأتوكم	wa iy ya`tụkum
أسارى	usārā
أسارى تفادوهم	usārā tufādụhum
وهو محرم	wa huwa muḥarram
محرم عليكم	muḥarramun ‘alaikum
إخراجهم	ikhrājuhum
أفتؤمنون	a fa tu`minụn
أفتؤمنون ببعض	a fa tu`minụna biba’ḍ
ببعض الكتاب	biba’ḍil-kitāb
الكتاب وتكفرون	al-kitābi wa takfurụn
وتكفرون ببعض	wa takfurụna biba’ḍ
فما جزاء 	fa mā jazā`
جزاء من	jazā`u man
من يفعل	may yaf’al
يفعل ذلك	yaf’alu żālik
ذلك منكم	żālika mingkum
إلا خزي	illā khizy
خزي في	khizyun fī
في الحياة	fil-ḥayāh
الحياة الدنيا	al-ḥayātid-dun-yā
الدنيا	ad-dun-yā
ويوم	wa yaum
يوم القيامة	yaumal-qiyāmah
القيامة يردون	al-qiyāmati yuraddụn
يردون إلى	yuraddụna ilā
إلى أشد	ilā asyad
أشد العذاب	asyaddil-‘ażāb
العذاب	al-‘ażāb
بغافل عما	bigāfilin ‘amma
الذين اشتروا	allażīnasytaraw
اشتروا الحياة	asytarawul-ḥayāh
بالآخرة فلا	bil-ākhirati fa lā
فلا يخفف	fa lā yukhaffaf
يخفف عنهم	yukhaffafu ‘an-hum
عنهم العذاب	‘an-humul-‘ażāb
العذاب ولا	al-‘ażābu wa lā
ينصرون	yunṣarụn
آتينا	ātainā
آتينا موسى	ātainā mụsā
موسى الكتاب	mụsal-kitāb
الكتاب وقفينا	al-kitāba wa qaffainā
وقفينا من	wa qaffainā min
من بعده	mim ba’dih
بعده بالرسل	ba’dihī bir-rusul
بالرسل وآتينا	bir-rusuli wa ātainā
وآتينا عيسى	wa ātainā ‘īsā
عيسى ابن	‘īsabn
ابن مريم	ibna maryam
مريم البينات	maryamal-bayyināt
البينات وأيدناه	al-bayyināti wa ayyadnāh
وأيدناه بروح	wa ayyadnāhu birụḥ
بروح القدس	birụḥil-qudus
أفكلما	a fa kullamā
أفكلما جاءكم	a fa kullamā jā`akum
رسول بما	rasụlum bima
بما لا تهوى	bimā lā tahwā
تهوى أنفسكم	tahwā anfusukum
أنفسكم استكبرتم	anfusukumustakbartum
ففريقا	fa farīqā
ففريقا كذبتم	fa farīqang każżabtum
وفريقا	wa farīqā
وفريقا تقتلون	wa farīqan taqtulụn
وقالوا قلوبنا	wa qālụ qulụbunā
قلوبنا غلف	qulụbunā gulf
بل	bal
بل لعنهم	bal la’anahum
لعنهم الله	la’anahumullāh
الله بكفرهم	allāhu bikufrihim
بكفرهم فقليلا	bikufrihim fa qalīlā
فقليلا ما يؤمنون	fa qalīlam mā yu`minụn
ولما جاءهم	wa lammā jā`ahum
جاءهم كتاب	jā`ahum kitāb
كتاب من	kitābum min
مصدق لما	muṣaddiqul limā
لما معهم	limā ma’ahum
معهم وكانوا	ma’ahum wa kānụ
وكانوا من	wa kānụ min
من قبل	ming qabl
قبل يستفتحون	qablu yastaftiḥụn
يستفتحون على	yastaftiḥụna ‘alā
الذين كفروا	allażīna kafarụ
فلما جاءهم	fa lammā jā`ahum
جاءهم ما	jā`ahum mā
ما عرفوا	mā ‘arafụ
عرفوا كفروا	‘arafụ kafarụ
كفروا به	kafarụ bih
به فلعنة	bihī fa la’nah
فلعنة الله	fa la’natullāh
الله على	allāhi ‘alā
على الكافرين	‘alal-kāfirīn
بئسما	bi`samā
بئسما اشتروا	bi`samasytarau
اشتروا به	asytarau bih
به أنفسهم	bihī anfusahum
أنفسهم أن	anfusahum an
أن يكفروا	ay yakfurụ
يكفروا بما	yakfurụ bimā
بما أنزل	bimā anzal
أنزل الله	anzalallāh
الله بغيا	allāhu bagyā
بغيا أن	bagyan an
أن ينزل	ay yunazzil
ينزل الله	yunazzilallāh
الله من	allāhu min
من فضله	min faḍlih
فضله على	faḍlihī ‘alā
على من	alā man
من يشاء	may yasyā`
